A;Ampere, Autobahn
a;Ar
AA;Auswärtiges Amt
Abez;Amtsbezirk
ABGB;Allgemeines Bürgerliches Gesetzbuch (Österreich)
Abo;Abonnement
ABz;Amtsbezirk
AD;Anno Domini
ADAC;Allgemeiner Deutscher Automobil-Club
ADHGB;Allgemeines Deutsches Handelsgesetzbuch
AE;astronomische Einheit, Arbeitseinheit, Abfindungserklärung
AEG;Allgemeine Elektritzitäts-Gesellschaft
AfA;Absetzung für Abnutzung
AFB;Amtliches Fernsprechbuch, Ausführungsbestimmung
AFeB;Amtliches Fernsprechbuch
AFG;Arbeitsförderungsgesetz
AG;Aktiengesellschaft, Amtsgericht, Arbeitsgemeinschaft, Arbeitsgruppe
AGB;Allgemeine Geschäftsbedingungen
AGBz;Amtsgerichtsbezirk
AK;Anwaltskammer, Arbeitskreis
AktZ;Aktenzeichen
AL;Abteilungsleiter, Amateurliga
Alu;Aluminium
AnV;Angestelltenversicherung, Arbeitnehmervertreter
AnwK;Anwaltskammer
AOK;Allgemeine Ortskrankenkasse, Armeeoberkommando
APA;Austria Presse-Agentur
APO;Außerparlamentarische Opposition
Apo;Außerparlamentarische Opposition
AR;Amtsrat, Amtsrichter, Aufsichtsrat
ArbA;Arbeitsamt, Arbeitsanweisung
ArbNV;Arbeitnehmervertreter, -vertretung
ARD;Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland
Arge;Arbeitsgemeinschaft
ARI;Allgemeine Rundfunk-Information
AStA;Allgemeiner Studentenausschuss, Allgemeiner Studierendenausschuss
ASV;Arbeiterselbstverwaltung, Allgemeiner Sport-Verein
ASVÖ;Allgemeiner Sportverband Österreichs
AT;Altes Testament
ATM;Austauschmotor
atü;Atmosphärenüberdruck
AUA;Austrian Airlines
B;Bundesstraße, Belgien
BAT;Bundesangestelltentarifvertrag
BDI;Bundesverband der Deutschen Industrie
Bf;Bahnhof
BGB;Bürgerliches Gesetzbuch
BGSt;Bundesgeschäftsstelle
BLZ;Bankleitzahl
BND;Bundesnachrichtendienst
BR;Bayerischer Rundfunk
BRD;Bundesrepublik Deutschland
BRT;Bruttoregistertonne (veraltet)
BRZ;Bruttoraumzahl
C;Celsius
CD;Compact Disc
CDU;Christlich-Demokratische Union
CH;Confoederatio Helvetica (Schweiz)
CHE;Confoederatio Helvetica (Schweiz)
cl;Zentiliter
cm;Zentimeter
CPU;Hauptprozessor (engl. central processing unit)
CSU;Christlich-Soziale Union
CVJM;Christlicher Verein Junger Menschen, früher auch: - Mädchen, - Männer
DAAD;Deutscher Akademischer Austauschdienst
DACH;Deutschland, Austria (Österreich), Confoederatio Helvetica (Schweiz)
DAG;Deutsche Angestellten-Gewerkschaft
DANN;Deutscher Normenausschuß
dB;Dezibel
DB;Deutsche Bundesbahn
DBB;Deutscher Beamtenbund
DDR;Deutsche Demokratische Republik
DFB;Deutscher Fußballbund
DGB;Deutscher Gewerkschaftsbund
DIN;Deutsches Institut für Normung e. V.
DKP;Deutsche Kommunistische Partei
dl;Deziliter
DLR;Deutsches Zentrum für Luft- und Raumfahrt e. V.
DLRG;Deutsche Lebens-Rettungs-Gesellschaft e. V.
DM;Deutsche Mark
dpa;Deutsche Presse-Agentur
DRK;Deutsches Rotes Kreuz
DRM;Digitale Rechteverwaltung (engl. Digital Rights Management)
DSG;Deutsche Schlafwagengesellschaft
DVD;nachträgliche engl. Interpretation: Digital Versatile Disc
PhD;Doctor of Philosophy
dz;Doppelzentner (2·50kg)
E;Eilzug, Europastraße
EDV;Elektronische Datenverarbeitung
eG;eingetragene Genossenschaft
EG;Europäische Gemeinschaft
eGmbH;eingetragene Genossenschaft mit beschränkter Haftung
EKD;Evangelische Kirche in Deutschland
EKG;Elektrokardiogramm
EU;Europäische Union
EURATOM;Europäische Atomgemeinschaft
EVG;Europäische Verteidigungsgemeinschaft, elektronisches Vorschaltgerät
EVU;Energieversorgungsunternehmen
EZU;Europäische Zahlungsunion
EZÜ;Einzel-Zahlungs-Überweisung
F;Fahrenheit
FC;Fußballclub
FDP;Freie Demokratische Partei
